,accuracy,precision,recall,f1_score,roc_auc,prediction_time_sec,false_negatives,confusion_matrix,training_time_sec,cv_f1_mean,cv_f1_std
RandomForest,0.6176470588235294,0.6167415386786462,0.6176470588235294,0.6142475358487313,0.6568287037037037,0.07606959342956543,16,"[[25, 23], [16, 38]]",1.2881262302398682,0.5151360023611393,0.04742020154339396
XGBoost,0.6176470588235294,0.6197667126552113,0.6176470588235294,0.6082433770082761,0.6720679012345678,0.002009868621826172,13,"[[22, 26], [13, 41]]",0.24706697463989258,0.5284044359576295,0.04229805072885588
LightGBM,0.6274509803921569,0.6266106442577031,0.6274509803921569,0.6248366013071895,0.6581790123456791,0.004019975662231445,16,"[[26, 22], [16, 38]]",0.08181333541870117,0.541561347509373,0.035642658731863903
CatBoost,0.5588235294117647,0.5583342814882238,0.5588235294117647,0.5585252932655438,0.6195987654320988,0.0,22,"[[25, 23], [22, 32]]",1.0979323387145996,0.5209301353059148,0.05243343441856099
ExtraTrees,0.5588235294117647,0.5567947320828214,0.5588235294117647,0.5564638380879922,0.6136188271604939,0.21606945991516113,20,"[[23, 25], [20, 34]]",1.4226844310760498,0.5288719960686865,0.040584371966203354
GradientBoosting,0.6176470588235294,0.6167182662538699,0.6176470588235294,0.6166470075388483,0.6739969135802469,0.0020112991333007812,18,"[[27, 21], [18, 36]]",1.0427086353302002,0.5270660533432204,0.06402722022315517
VotingEnsemble,0.6372549019607843,0.6368981819037091,0.6372549019607843,0.6340297134975142,0.6720679012345679,0.23709392547607422,15,"[[26, 22], [15, 39]]",1.5014283657073975,0.5275882874080684,0.04152653502512306
StackingEnsemble,0.6274509803921569,0.6340336134453782,0.6274509803921569,0.6142314990512334,0.65625,0.027941226959228516,11,"[[21, 27], [11, 43]]",3.960402011871338,0.5180415164743931,0.014890453446898929
